Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
33,33,1998-01-07,,NJN,W,89,88,35,86,.407,4,16,.250,15,21,.714,17,57,17,6,7,19,27,,27,86,.314,5,15,.333,29,35,.829,16,50,12,13,4,12,20
34,34,1998-01-09,,CHI,L,89,90,32,75,.427,3,11,.273,22,23,.957,6,37,18,1,5,14,24,,36,77,.468,3,9,.333,15,22,.682,3,31,18,7,4,11,21
35,35,1998-01-11,,SEA,W,92,91,33,80,.413,8,23,.348,18,24,.750,16,41,22,5,1,9,20,,36,74,.486,4,16,.250,15,15,1.000,9,35,21,4,2,17,26
36,36,1998-01-13,,ATL,L,89,91,30,74,.405,10,15,.667,19,27,.704,18,39,22,5,3,16,22,,34,72,.472,2,10,.200,21,25,.840,14,41,13,8,3,16,22
37,37,1998-01-17,@,TOR,W,93,82,34,80,.425,9,20,.450,16,18,.889,10,44,25,10,5,13,22,,30,74,.405,6,14,.429,16,24,.667,9,35,22,5,14,15,18
38,38,1998-01-19,,BOS,W,98,82,32,70,.457,4,12,.333,30,36,.833,13,51,23,7,3,21,16,,32,79,.405,9,18,.500,9,15,.600,5,30,22,12,2,14,27
39,39,1998-01-21,,IND,W,97,89,39,78,.500,4,13,.308,15,20,.750,13,45,24,8,3,10,23,,29,65,.446,10,16,.625,21,25,.840,3,29,18,7,4,11,20
40,40,1998-01-24,@,DET,W,99,92,38,76,.500,8,13,.615,15,18,.833,9,39,22,6,1,13,23,,33,72,.458,2,9,.222,24,30,.800,11,40,20,8,2,12,19
41,41,1998-01-26,@,BOS,L,85,94,32,79,.405,5,21,.238,16,18,.889,15,41,18,14,0,21,26,,31,65,.477,7,18,.389,25,30,.833,8,31,25,12,6,22,15
42,42,1998-01-28,@,MIA,L,82,86,30,85,.353,5,16,.313,17,22,.773,21,51,15,4,1,14,23,,31,69,.449,7,23,.304,17,22,.773,4,32,20,7,6,11,22
43,43,1998-01-29,,MIL,L,112,115,38,83,.458,9,18,.500,27,35,.771,14,45,25,6,4,19,24,,41,82,.500,6,12,.500,27,35,.771,10,41,22,10,3,14,29
44,44,1998-02-01,,MIA,W,89,83,32,73,.438,2,10,.200,23,26,.885,5,35,20,6,5,12,29,,27,78,.346,2,15,.133,27,37,.730,14,46,15,7,1,11,26
